source,date,beds,rent,sqft,lat,lng,below_fmr
Zillow,2021-04-08,4,2300,2027,30.45,-97.687,FALSE
Zillow,2021-04-08,4,2000,2248,30.36,-97.546,FALSE
Zillow,2021-04-08,1,1375,400,30.278,-97.712,FALSE
Zillow,2021-04-08,3,2300,2100,30.429,-97.689,FALSE
Zillow,2021-04-08,4,2500,1873,30.195,-97.782,FALSE
Zillow,2021-04-08,3,1705,1201,30.438,-97.74,FALSE
Zillow,2021-04-08,3,1695,2258,30.408,-97.686,FALSE
Zillow,2021-04-08,4,3200,2751,30.377,-97.848,FALSE
Zillow,2021-04-08,3,2695,1408,30.344,-97.72,FALSE
Zillow,2021-04-08,3,2100,1657,30.46,-97.685,FALSE
Zillow,2021-04-08,1,1095,450,30.308,-97.729,TRUE
Zillow,2021-04-08,3,1900,1841,30.424,-97.631,FALSE
Zillow,2021-04-08,2,2825,1191,30.262,-97.773,FALSE
Zillow,2021-04-08,3,2400,1382,30.194,-97.785,FALSE
Zillow,2021-04-08,1,1499,NA,30.264,-97.69,FALSE
Zillow,2021-04-08,2,2950,1020,30.253,-97.716,FALSE
Zillow,2021-04-08,4,3595,1557,30.305,-97.72,FALSE
Zillow,2021-04-08,3,1850,1781,30.367,-97.521,FALSE
Zillow,2021-04-08,3,1750,1655,30.238,-97.589,FALSE
Zillow,2021-04-08,4,3595,1550,30.31,-97.728,FALSE
Zillow,2021-04-08,3,2950,1900,30.245,-97.775,FALSE
Zillow,2021-04-08,1,1200,620,30.231,-97.776,TRUE
Zillow,2021-04-08,1,1174,610,30.285,-97.716,TRUE
Zillow,2021-04-08,2,1938,1209,30.247,-97.777,FALSE
Zillow,2021-04-08,2,1625,1400,30.331,-97.734,FALSE
Zillow,2021-04-08,0,1200,NA,30.29,-97.744,FALSE
Zillow,2021-04-08,5,3200,3648,30.54,-97.869,FALSE
Zillow,2021-04-08,1,1239,732,30.201,-97.772,FALSE
Zillow,2021-04-08,2,1295,1045,30.415,-97.667,TRUE
Zillow,2021-04-08,3,2139,1468,30.441,-97.749,FALSE
Zillow,2021-04-08,3,2900,1688,30.422,-97.753,FALSE
Zillow,2021-04-08,3,2900,1776,30.346,-97.717,FALSE
Zillow,2021-04-08,2,1750,810,30.306,-97.725,FALSE
Zillow,2021-04-08,2,1095,780,30.453,-97.993,TRUE
Zillow,2021-04-08,1,2000,880,30.283,-97.721,FALSE
Zillow,2021-04-08,3,1995,1925,30.449,-97.554,FALSE
Zillow,2021-04-08,2,2250,892,30.279,-97.754,FALSE
Zillow,2021-04-08,4,1875,1866,30.439,-97.635,FALSE
Zillow,2021-04-08,3,1995,1115,30.153,-97.828,FALSE
Zillow,2021-04-08,2,1700,850,30.332,-97.721,FALSE
Zillow,2021-04-08,1,2415,919,30.269,-97.752,FALSE
Zillow,2021-04-09,3,1750,1445,30.033,-97.836,FALSE
Zillow,2021-04-09,4,1925,1679,30.04,-97.811,FALSE
Zillow,2021-04-09,3,1899,1656,30.585,-97.864,FALSE
Zillow,2021-04-09,3,1395,961,30.489,-97.658,TRUE
Zillow,2021-04-09,3,1995,1690,30.555,-97.847,FALSE
Zillow,2021-04-09,4,2300,2838,30.58,-97.657,FALSE
Zillow,2021-04-09,3,1895,1793,30.534,-97.825,FALSE
Zillow,2021-04-09,1,1239,825,30.47,-97.767,FALSE
Zillow,2021-04-09,4,1735,1956,30.577,-97.859,TRUE
Zillow,2021-04-09,3,1750,1494,30.531,-97.619,FALSE
Zillow,2021-04-10,3,2000,2138,30.099,-97.327,FALSE
Zillow,2021-04-10,3,1549,1203,30.228,-97.59,FALSE
Zillow,2021-04-10,2,3500,1250,30.257,-97.753,FALSE
Zillow,2021-04-10,4,5500,2625,30.239,-97.749,FALSE
Zillow,2021-04-10,3,3000,1621,30.272,-97.717,FALSE
Zillow,2021-04-10,3,1675,1370,30.238,-97.581,FALSE
Zillow,2021-04-10,3,4500,2050,30.294,-97.772,FALSE
Zillow,2021-04-10,3,3800,1575,30.261,-97.761,FALSE
Zillow,2021-04-10,0,1300,NA,30.268,-97.698,FALSE
Zillow,2021-04-10,3,1825,1224,30.175,-97.789,FALSE
Zillow,2021-04-10,1,1100,350,30.313,-97.722,TRUE
Zillow,2021-04-10,3,1850,1646,30.361,-97.641,FALSE
Zillow,2021-04-10,3,1525,1058,30.368,-97.519,FALSE
Zillow,2021-04-10,3,2295,1587,30.418,-97.714,FALSE
Zillow,2021-04-10,4,2050,1936,30.377,-97.655,FALSE
Zillow,2021-04-10,4,3400,2762,30.187,-97.844,FALSE
Zillow,2021-04-10,1,1815,705,30.28,-97.754,FALSE
Zillow,2021-04-10,1,2500,972,30.25,-97.751,FALSE
Zillow,2021-04-10,2,2200,1224,30.545,-97.869,FALSE
Zillow,2021-04-10,1,1490,680,30.363,-97.732,FALSE
Zillow,2021-04-10,2,2900,1518,30.23,-97.763,FALSE
Zillow,2021-04-10,1,1295,399,30.283,-97.741,FALSE
Zillow,2021-04-10,3,3000,1160,30.247,-97.764,FALSE
Zillow,2021-04-10,2,1800,1303,30.242,-97.735,FALSE
Zillow,2021-04-10,3,2000,1590,30.175,-97.818,FALSE
Zillow,2021-04-10,3,2350,1473,30.396,-97.691,FALSE
Zillow,2021-04-10,3,2900,1408,30.43,-97.729,FALSE
Zillow,2021-04-10,2,5250,1161,30.267,-97.752,FALSE
Zillow,2021-04-10,3,3000,1352,30.25,-97.771,FALSE
Zillow,2021-04-10,4,3800,3230,30.195,-97.904,FALSE
Zillow,2021-04-10,3,2595,1168,30.305,-97.734,FALSE
Zillow,2021-04-10,3,1795,1314,30.158,-97.778,FALSE
Zillow,2021-04-10,3,1485,1350,30.19,-97.751,FALSE
Zillow,2021-04-10,1,1245,560,30.335,-97.738,FALSE
Zillow,2021-04-10,4,3500,2608,30.312,-97.914,FALSE
Zillow,2021-04-10,2,1792,1209,30.247,-97.777,FALSE
Zillow,2021-04-10,2,2132,1209,30.247,-97.777,FALSE
Zillow,2021-04-10,2,2095,1160,30.391,-97.938,FALSE
Zillow,2021-04-10,1,1855,759,30.275,-97.764,FALSE
Zillow,2021-04-10,2,1220,1050,30.413,-97.73,TRUE
Zillow,2021-04-10,5,2795,3156,30.372,-97.9,FALSE
Zillow,2021-04-10,3,5990,1986,30.238,-97.761,FALSE
Zillow,2021-04-10,4,2300,2363,30.203,-97.697,FALSE
Zillow,2021-04-10,4,3795,2662,30.188,-97.9,FALSE
Zillow,2021-04-10,3,1800,1775,29.922,-97.944,FALSE
Zillow,2021-04-10,4,1800,1837,30.025,-97.845,TRUE
Zillow,2021-04-10,3,2050,1905,30.552,-97.828,FALSE
Zillow,2021-04-10,3,2295,2329,30.693,-97.732,FALSE
Zillow,2021-04-10,4,2500,2583,30.468,-97.768,FALSE
Zillow,2021-04-10,3,1795,1635,30.54,-97.645,FALSE
Zillow,2021-04-10,3,1550,1365,30.525,-97.537,FALSE
Zillow,2021-04-10,4,1800,1400,30.526,-97.835,TRUE
Zillow,2021-04-10,3,1895,1567,30.524,-97.659,FALSE
Zillow,2021-04-10,3,1750,1305,30.51,-97.658,FALSE
Zillow,2021-04-10,4,2100,2049,30.701,-97.713,FALSE
Zillow,2021-04-10,3,2300,1917,30.548,-97.613,FALSE
Zillow,2021-04-10,3,2225,1529,30.622,-97.694,FALSE
Zillow,2021-04-10,3,2700,1966,30.487,-97.826,FALSE
Zillow,2021-04-11,3,3100,1715,29.847,-97.855,FALSE
Zillow,2021-04-11,3,1850,1450,30.101,-97.335,FALSE
Zillow,2021-04-11,3,1900,1533,30.101,-97.334,FALSE
Zillow,2021-04-11,2,1595,1225,30.11,-97.392,FALSE
Zillow,2021-04-11,1,1650,812,30.258,-97.706,FALSE
Zillow,2021-04-11,3,2800,1818,30.314,-97.918,FALSE
Zillow,2021-04-11,3,1850,2068,30.152,-97.742,FALSE
Zillow,2021-04-11,3,3175,1563,30.259,-97.733,FALSE
Zillow,2021-04-11,4,2395,2539,30.392,-97.619,FALSE
Zillow,2021-04-11,1,3475,862,30.263,-97.726,FALSE
Zillow,2021-04-11,3,5000,1648,30.28,-97.69,FALSE
Zillow,2021-04-11,4,2750,2591,30.358,-97.605,FALSE
Zillow,2021-04-11,1,1605,825,30.279,-97.757,FALSE
Zillow,2021-04-11,1,1875,565,30.269,-97.754,FALSE
Zillow,2021-04-11,2,1900,861,30.231,-97.74,FALSE
Zillow,2021-04-11,1,875,600,30.243,-97.773,TRUE
Zillow,2021-04-11,2,2300,1040,30.29,-97.738,FALSE
Zillow,2021-04-11,2,1800,1000,30.375,-97.735,FALSE
Zillow,2021-04-11,5,4200,3142,30.176,-97.915,FALSE
